yelping_since,useful,compliment_photos,compliment_list,compliment_funny,compliment_plain,review_count,elite,fans,compliment_note,funny,compliment_writer,compliment_cute,average_stars,user_id,compliment_more,friends,compliment_hot,cool,name,compliment_profile,compliment_cool
9/28/2015,0,0,0,0,0,1,None,0,0,0,0,0,2,lzlZwIpuSWXEnNS91wxjHw,0,None,0,0,Susan,0,0
9/5/2015,0,0,0,0,0,2,None,0,0,0,0,0,5,XvLBr-9smbI0m_a7dXtB7w,0,None,0,0,Daipayan,0,0
7/21/2016,0,0,0,0,0,1,None,0,0,0,0,0,4,QPT4Ud4H5sJVr68yXhoWFw,0,None,0,0,Andy,0,0
8/4/2014,0,0,0,0,0,19,None,0,0,0,0,0,4.05,i5YitlHZpf0B3R0s_8NVuw,0,None,0,0,Jonathan,0,0
6/18/2017,0,0,0,0,0,3,None,0,0,0,0,0,3,s4FoIXE_LSGviTHBe8dmcg,0,None,0,0,Shashank,0,0
8/27/2014,0,0,0,0,0,3,None,0,0,0,0,0,5,ZcsZdHLiJGVvDHVjeTYYnQ,0,None,0,0,Stacey X Joe,0,0
2/2/2016,0,0,0,0,0,2,None,0,0,0,0,0,5,h3p6aeVL7vrafSOM50SsCg,0,None,0,0,Lindsay,0,0
3/20/2013,0,0,0,0,0,1,None,0,0,0,0,0,5,EbJMotYYkq-iq-v1u8wCYA,0,None,0,0,Joshua,0,0
7/11/2014,8,0,0,0,0,11,None,1,0,0,0,0,2.77,nnB0AE1Cxp_0154xkhXelw,0,None,0,0,Mike,0,0
4/7/2013,2,0,0,0,0,4,None,0,0,3,0,0,4,XoEnrhtJc2pcdlQ09d8Oug,0,None,0,1,Mitch,0,0
3/25/2017,0,0,0,0,0,1,None,0,0,0,0,0,5,QDQTMYp2NocktWN5fHwfIg,0,None,0,0,Andrea,0,0
10/4/2015,0,0,0,0,0,10,None,0,0,0,0,0,4.2,Nq9WrJcCjQjHSoaUPZcPWg,0,None,0,0,F,0,0
1/25/2011,0,0,0,0,0,6,None,0,0,0,0,0,3.86,SgYDjNCecPidsRB_su5-tw,0,None,0,0,Jessica,0,0
8/23/2017,0,0,0,0,0,1,None,0,0,0,0,0,2,AUWHIxgZuL2h4svVLdUZaA,0,None,0,0,Alex,0,0
11/21/2017,0,0,0,0,0,1,None,0,0,0,0,0,2,jlCxOfVf_Ff4YgGov8Tm1g,0,None,0,0,Kara,0,0
10/26/2014,1,0,0,0,0,2,None,0,0,0,0,0,3,9u9a9JakFNHZksptLKPUrw,0,None,0,0,Teresa,0,0
7/19/2015,2,0,0,0,0,2,None,0,0,0,0,0,1,NfE1uHFWzzMyXkgBeEuR1A,0,None,0,0,Danielle,0,0
6/15/2014,0,0,0,0,0,4,None,0,0,0,0,0,4,RiBVI6UgLjfpA4EQ1SWDzA,0,None,0,0,Shawn,0,0
5/1/2016,5,0,0,0,0,16,None,1,0,1,0,0,3.75,iK_Mfq3BLLxprw4Trgc4Bg,0,None,0,11,Love America,0,0
5/7/2015,0,0,0,0,0,1,None,0,0,0,0,0,3,kPAyx-80ZIFKVy6uQ71I6Q,0,None,0,0,Matthew,0,0
3/1/2015,0,0,0,0,0,2,None,0,0,0,0,0,4,UI_EvU0TUNeFJMNQIut--A,0,None,0,0,Kim,0,0
2/9/2012,0,0,0,0,0,1,None,0,0,0,0,0,1,bwPVGW1Mx0qmS_qNQ7xmYg,0,None,0,0,Ying,0,0
10/9/2012,0,0,0,0,0,3,None,0,0,0,0,0,3,vLekYe1hK12NJc8PyxRjIg,0,None,0,0,John,0,0
4/11/2014,0,0,0,0,0,2,None,0,0,0,0,0,4.5,bVBLhbpER9SQW9q2X-22dQ,0,None,0,0,Kaye,0,0
7/2/2013,0,0,0,0,0,5,None,0,0,0,0,0,4.2,ibLa3RJIF8Ht0FKSXrw0TA,0,None,0,0,Matt,0,0
11/3/2009,0,0,0,0,0,1,None,0,0,0,0,0,4,wpIu6p4DYRx--gHjMbqPlw,0,None,0,0,Tim,0,0
4/5/2015,0,0,0,0,0,1,None,0,0,0,0,0,5,x-IMCiS9SBrnm8mD1WIeMg,0,None,0,0,Sandra,0,0
5/8/2009,0,0,0,0,0,2,None,0,0,0,0,0,3,TpE_T9jESeq-YtqWLyyACQ,0,None,0,0,Aisha,0,0
7/8/2016,0,0,0,0,0,13,None,0,0,0,0,0,4.15,XZFlH0CO2Txp2OVynS0Zag,0,None,0,0,Dana,0,0
3/1/2016,0,0,0,0,0,1,None,0,0,0,0,0,5,5_549BpxlmfCvkQa9mybBA,0,None,0,0,Teresa,0,0
12/30/2015,0,0,0,0,0,2,None,0,0,1,1,0,5,Dmso4_w1f4LSzAiyOLk0Gw,0,None,0,1,Joe,0,0
5/1/2011,2,0,0,0,0,13,None,0,0,2,0,0,4.29,-10AAuTs4nHZwXKavpFPvw,0,None,0,0,Gary,0,0
2/3/2017,0,0,0,0,0,5,None,0,0,2,0,0,5,f_Elxx59fEfpQB4MFn93Dw,0,None,0,0,Bob,0,0
4/29/2011,0,0,0,0,0,1,None,0,0,0,0,0,5,BebqF5U9FdVShxZWPE-H-g,0,None,0,0,kerry,0,0
7/14/2016,0,0,0,0,0,1,None,0,0,0,0,0,1,07UJ5zgua9ooAus8pWhmOA,0,None,0,0,Sarah,0,0
10/20/2016,0,0,0,0,0,1,None,0,0,0,0,0,5,GEs3QLyGOAg3dWdntWiyLw,0,None,0,0,Rosemary,0,0
6/21/2017,0,0,0,0,0,2,None,0,0,0,0,0,1,ClE-B2wYfJP-jFu5QO5Y3Q,0,None,0,0,Frank,0,0
7/16/2011,0,0,0,0,0,6,None,0,0,0,0,0,4.33,G0VWbFLylH2wsH_UsxY82g,0,None,0,0,Chris,0,0
5/23/2013,0,0,0,0,0,3,None,0,0,0,0,0,5,DcBtmk6yrU37JVPGPzIHnA,0,None,0,3,Tiffany,0,0
8/6/2015,0,0,0,0,0,1,None,0,0,0,0,0,5,34dHYkTKfB4xkl6FZbny3A,0,None,0,0,Jamie,0,0
